Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitotic spindle checkpoint signaling (GO:0071174)	9/21	1.068543e-03	1.931728e-01	0	0	4.714716e+00	3.225553e+01	CDC20;MAD2L2;CENPF;APC;BUB1B;BUB3;BUB1;ZWINT;MAD1L1
GO_Biological_Process_2021	spindle assembly checkpoint signaling (GO:0071173)	9/21	1.068543e-03	1.931728e-01	0	0	4.714716e+00	3.225553e+01	CDC20;MAD2L2;CENPF;APC;BUB1B;BUB3;BUB1;ZWINT;MAD1L1
GO_Biological_Process_2021	cellular response to organic substance (GO:0071310)	30/123	1.068729e-03	1.931728e-01	0	0	2.033882e+00	1.391437e+01	ACVRL1;CSF3;PID1;FLT3;SLC1A1;LEF1;CXCR4;CIB1;AKAP6;PTPN23;GHR;CLEC3B;ACVR1C;KHSRP;CCL5;CCR7;SLIT3;NOS1;MAP2K5;PTPN18;TGFB1;IL18;PTPN11;KLF4;TGFBR2;CYP1A1;PTPN6;PTPN7;PTPN5;RAMP1
GO_Biological_Process_2021	sister chromatid segregation (GO:0000819)	12/34	1.297004e-03	2.263495e-01	0	0	3.430648e+00	2.280592e+01	TOP2A;KIF18A;KIF18B;ESPL1;KIFC1;NUSAP1;KIF25;CDCA8;INO80;TUBG2;NDC80;ZWINT
GO_Biological_Process_2021	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9/22	1.589241e-03	2.514839e-01	0	0	4.351793e+00	2.804512e+01	CDC20;MAD2L2;CENPF;APC;BUB1B;BUB3;BUB1;ZWINT;MAD1L1
GO_Biological_Process_2021	regulation of lipid storage (GO:0010883)	9/22	1.589241e-03	2.514839e-01	0	0	4.351793e+00	2.804512e+01	FTO;NFKBIA;IL6;FBXW7;ITGB3;PLA2G10;LPL;APOB;IKBKE
GO_Biological_Process_2021	regulation of adherens junction organization (GO:1903391)	4/5	1.590098e-03	2.514839e-01	0	0	2.511540e+01	1.618426e+02	RDX;PTPN23;ADD1;BMP6
GO_Biological_Process_2021	cellular response to tumor necrosis factor (GO:0071356)	42/194	1.682719e-03	2.580679e-01	0	0	1.743880e+00	1.113876e+01	PID1;CCL11;EDA;TNFRSF13B;CIB1;EDA2R;PSMB10;PYCARD;CRHBP;SMPD4;PSMB5;CCL8;PSMD4;HYAL1;CCL5;HYAL3;RPS3;TNFSF11;CCL1;CCL19;CCL17;CCL16;CCL25;CCL24;CCL22;TNFRSF9;TNFRSF18;TRAF2;NR1D1;TRAF1;PSMB8;PSMA5;NFKBIA;PSMC3;PSMC4;PSME1;LTA;PSME2;CD27;PYDC1;LTB;BIRC3
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	20/74	1.898772e-03	2.614689e-01	0	0	2.331936e+00	1.461319e+01	UBE2C;NDE1;KIF25;CDCA8;KIF11;TUBG2;INO80;NDC80;ZWINT;TPX2;KIF18A;KIF18B;ESPL1;KIFC1;CHEK2;NUP62;NUSAP1;CHMP2A;CHMP4B;NDEL1
GO_Biological_Process_2021	chromatin silencing at telomere (GO:0006348)	5/8	1.911549e-03	2.614689e-01	0	0	1.046735e+01	6.552393e+01	DPY30;DYDC2;DYDC1;EZH1;EZH2
GO_Biological_Process_2021	negative regulation of chromosome organization (GO:2001251)	5/8	1.911549e-03	2.614689e-01	0	0	1.046735e+01	6.552393e+01	TOP2A;ESPL1;ERCC1;TERF2IP;TERF2
GO_Biological_Process_2021	positive regulation of ryanodine-sensitive calcium-release channel activity (GO:0060316)	5/8	1.911549e-03	2.614689e-01	0	0	1.046735e+01	6.552393e+01	JPH2;GSTO1;AKAP6;CALM1;TRDN
GO_Biological_Process_2021	negative regulation of cell-matrix adhesion (GO:0001953)	11/32	2.605417e-03	3.470004e-01	0	0	3.293500e+00	1.959686e+01	ACVRL1;MMP12;BCAS3;MYOC;SRC;RCC2;DLC1;FAM107A;ITGB1BP1;ARHGAP6;PHLDB2
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	23/92	2.767780e-03	3.478308e-01	0	0	2.099218e+00	1.236378e+01	ACVRL1;CCL24;EGFL7;CCL11;ANGPT1;CAV2;ITGB3;CAV1;WNT5A;HMGB2;PTPRM;VEGFC;PROX1;AIMP1;NR4A1;PDCL3;BMP2;TNMD;LEP;ATOH8;CDH13;PRKD2;VIP
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	81/437	2.867485e-03	3.478308e-01	0	0	1.439563e+00	8.427660e+00	FAM13B;EHMT2;ITSN1;FAM13A;PRDM1;ARHGAP6;PYCARD;AKAP12;ING2;STK11;EXO1;CHEK2;ARHGDIA;ARHGDIB;RAC2;MLST8;TNFSF11;RAC3;VAV3;DAXX;PRKAB2;TBP;MYOC;VWF;RMI1;RFC2;CSNK2A2;WNT5A;ARHGEF19;ARAP3;ARHGEF18;TRAF2;TRAF1;RHOF;GMIP;RHOC;RHOD;PJA2;ARHGAP10;DDIT4;PRKD2;ARHGEF1;RHOU;ARHGEF7;BIRC3;BLM;NLGN1;RNF34;NOP2;XIAP;PIK3R2;AKAP6;TAF1L;KALRN;STYXL1;AURKB;AURKA;FGD3;FGD4;NUAK1;PAK1;PTPMT1;TP53BP2;ANKRD54;TAF9B;MTA2;MAP2K6;PLK3;TAF10;PDE2A;ARHGAP24;NFKBIA;TPX2;CDK5;CLEC6A;DLC1;BCL3;JMY;CDK1;TAF7;TAF6
GO_Biological_Process_2021	cellular response to nitrogen levels (GO:0043562)	6/12	2.955290e-03	3.478308e-01	0	0	6.281603e+00	3.658505e+01	GABARAPL2;GABARAPL1;MAP1LC3B;MAP1LC3C;NPRL2;MAP1LC3B2
GO_Biological_Process_2021	cellular response to nitrogen starvation (GO:0006995)	6/12	2.955290e-03	3.478308e-01	0	0	6.281603e+00	3.658505e+01	GABARAPL2;GABARAPL1;MAP1LC3B;MAP1LC3C;NPRL2;MAP1LC3B2
GO_Biological_Process_2021	regulation of sensory perception (GO:0051931)	6/12	2.955290e-03	3.478308e-01	0	0	6.281603e+00	3.658505e+01	TMEM100;SMR3B;SMR3A;SCN11A;VIP;MGLL
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	33/148	3.057803e-03	3.517168e-01	0	0	1.808945e+00	1.047390e+01	FLT3;NVL;DCUN1D3;PNKP;DCUN1D4;PARN;CHTF18;AURKB;CHTF8;PABPN1;NEK2;RPS2;MAP3K4;ARRDC4;EPHA5;CD74;HSP90AA1;TGFB1;UBE2I;DTX3L;FBXW7;RFC2;AXIN1;KLF4;MERTK;PKIB;PINK1;TCP1;HNRNPA2B1;TYRO3;HNRNPD;SERINC1;EPHA3
GO_Biological_Process_2021	positive regulation of viral life cycle (GO:1903902)	9/24	3.229042e-03	3.615652e-01	0	0	3.771116e+00	2.162950e+01	CD74;CD209;CHMP2B;CHMP2A;TYRO3;LGALS9;P4HB;CLEC4G;TRIM11
GO_Biological_Process_2021	energy reserve metabolic process (GO:0006112)	8/20	3.416332e-03	3.615652e-01	0	0	4.189330e+00	2.379199e+01	PID1;UGP2;GBE1;LEP;PHKG2;LEPR;PHKB;PYGM
GO_Biological_Process_2021	regulation of intrinsic apoptotic signaling pathway (GO:2001242)	15/52	3.424108e-03	3.615652e-01	0	0	2.550379e+00	1.447828e+01	DDX3X;SRC;CAV1;RTKN2;MMP9;STYXL1;BBC3;PYCARD;BCLAF1;PINK1;PTPMT1;PPIF;PMAIP1;P4HB;BCL2L2
GO_Biological_Process_2021	signal transduction by p53 class mediator (GO:0072331)	11/33	3.429190e-03	3.615652e-01	0	0	3.143613e+00	1.784136e+01	PYCARD;STK11;ATRX;BCL3;JMY;TP53BP2;PMAIP1;ZNF385B;NDRG1;PDK2;BATF
GO_Biological_Process_2021	negative regulation of nitric oxide biosynthetic process (GO:0045019)	5/9	3.814301e-03	3.682225e-01	0	0	7.850055e+00	4.371694e+01	PTGIS;CAV1;KHSRP;CD34;GLA
GO_Biological_Process_2021	negative regulation of nitric oxide metabolic process (GO:1904406)	5/9	3.814301e-03	3.682225e-01	0	0	7.850055e+00	4.371694e+01	PTGIS;CAV1;KHSRP;CD34;GLA
GO_Biological_Process_2021	regulation of DNA-templated transcription in response to stress (GO:0043620)	5/9	3.814301e-03	3.682225e-01	0	0	7.850055e+00	4.371694e+01	BCLAF1;MUC1;RGS14;RPS6KA1;INO80
GO_Biological_Process_2021	regulation of histone H4 acetylation (GO:0090239)	5/9	3.814301e-03	3.682225e-01	0	0	7.850055e+00	4.371694e+01	MUC1;SMARCB1;PIH1D1;TAF7;IWS1
GO_Biological_Process_2021	regulation of hydrolase activity (GO:0051336)	19/73	3.858765e-03	3.682225e-01	0	0	2.214529e+00	1.230704e+01	SCARB2;EPHA5;VAV3;RABGAP1;FBXW11;CAV1;CAMK2A;RDX;FGD3;FGD4;SIPA1L1;FGD6;ITGB1BP1;PLXNB1;NOS1;PRKG1;EPHA3;TBC1D15;PAFAH1B1
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	34/156	3.928871e-03	3.682225e-01	0	0	1.756753e+00	9.731364e+00	BLM;RNF34;EHMT2;NOP2;CHD5;TAF1L;PRDM1;AURKB;AURKA;RPS15;STK11;NUAK1;ING2;EXO1;CHEK2;TP53BP2;MLST8;MTA2;TAF9B;MAP2K6;PLK3;DAXX;PRKAB2;TBP;RFC2;RMI1;TAF10;CSNK2A2;TPX2;CDK5;JMY;CDK1;TAF7;TAF6
GO_Biological_Process_2021	glycosylceramide metabolic process (GO:0006677)	4/6	4.248727e-03	3.839787e-01	0	0	1.255697e+01	6.857533e+01	NAGA;ST6GALNAC3;GLA;ST6GALNAC6
GO_Biological_Process_2021	vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990668)	4/6	4.248727e-03	3.839787e-01	0	0	1.255697e+01	6.857533e+01	TAP1;STX4;CALR;TAPBP
GO_Biological_Process_2021	negative regulation of cell junction assembly (GO:1901889)	9/25	4.437561e-03	3.872155e-01	0	0	3.535216e+00	1.915256e+01	ACVRL1;BCAS3;SRC;RCC2;DLC1;FAM107A;ITGB1BP1;ARHGAP6;PHLDB2
GO_Biological_Process_2021	regulation of cAMP-mediated signaling (GO:0043949)	9/25	4.437561e-03	3.872155e-01	0	0	3.535216e+00	1.915256e+01	RNF157;PDE11A;UBE2B;MGRN1;PDE3B;PDE2A;SCTR;PDE3A;RAPGEF2
GO_Biological_Process_2021	kinetochore organization (GO:0051383)	6/13	4.853816e-03	4.110861e-01	0	0	5.383919e+00	2.868547e+01	CDT1;CENPF;NUF2;CENPA;NDC80;DLGAP5
GO_Biological_Process_2021	lipid homeostasis (GO:0055088)	17/64	4.873576e-03	4.110861e-01	0	0	2.275786e+00	1.211612e+01	ABCA1;CEBPA;CETP;DDX3X;DGAT2;FBXW7;NR1D2;ABCB11;CLN8;USF2;USF1;MLXIPL;ACOX1;ATP13A2;PNPLA5;TLCD1;PNPLA2
GO_Biological_Process_2021	lymphocyte chemotaxis (GO:0048247)	13/44	4.985606e-03	4.136418e-01	0	0	2.637126e+00	1.397993e+01	CCL25;CCL24;CCL11;CCL22;CXCL13;CXCL10;CCL8;CCL5;CCL1;ADAM8;CCL19;CCL17;CCL16
GO_Biological_Process_2021	vasculature development (GO:0001944)	7/17	5.077250e-03	4.144510e-01	0	0	4.397704e+00	2.323301e+01	ACVRL1;STK11;PIK3CA;FBXW7;NOTCH4;TCF21;STRA6
GO_Biological_Process_2021	endothelial cell development (GO:0001885)	9/26	5.970833e-03	4.629313e-01	0	0	3.327069e+00	1.703748e+01	ROBO4;COL22A1;TNMD;PDE2A;RDX;MYADM;PECAM1;RAPGEF2;RAPGEF3
GO_Biological_Process_2021	negative regulation of macroautophagy (GO:0016242)	9/26	5.970833e-03	4.629313e-01	0	0	3.327069e+00	1.703748e+01	PINK1;PIK3CA;PHF23;FEZ1;FEZ2;CHMP4B;TSC1;CHMP4A;MTM1
GO_Biological_Process_2021	negative regulation of mitotic cell cycle phase transition (GO:1901991)	22/92	5.979087e-03	4.629313e-01	0	0	1.978422e+00	1.012851e+01	KANK2;CDKN1A;DCUN1D3;FHL1;FAM107A;PKD2;KLF4;PSMB10;PSMB8;AURKA;PSMA5;RBL2;GPR132;WEE1;PSMB5;PSMD4;APC;PSMC3;PSMC4;PSME1;PSME2;SKP1
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	96/546	6.237897e-03	4.629313e-01	0	0	1.349825e+00	6.853215e+00	KLB;CSF3;GPR89A;DDX3X;FLT3;RTKN2;CHD5;IFI35;ADRA1B;ADRA1A;FGF3;EDA2R;BBC3;RPS15;FGF7;FGF8;NUP62;RAC2;MLST8;IL12B;TNFSF11;CCR7;LGALS9;IKBKE;HSP90AA1;MYOC;VWF;FCRL3;HGF;WNT5A;IL18;SHISA5;TRAF2;MIF;ADRA2C;RHOC;ZDHHC17;FRMD1;MID2;BTC;TRAF7;PIK3CA;EEF1D;NOS1AP;RAPGEF2;CDH13;TERF2IP;PRKD2;ADAM8;ITGB1BP1;RBCK1;TLR4;BIRC3;RNF31;NLGN1;SRC;SLC20A1;MAZ;PIK3R2;STYXL1;RTN4;BCLAF1;CALCR;PDGFD;CCL5;UBD;RPS3;PMAIP1;CCL19;SASH1;BRD4;KL;CD74;MAP3K3;WDR59;TGFB1;ANGPT1;CAV2;TRAT1;CAV1;SCTR;PTPN11;USP17L2;BST2;PINK1;BMP2;IL6;P2RX4;TNIP2;CLEC6A;LEP;PDCD4;CD27;PLXNB1;PTPN6;MYD88
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	32/149	6.328401e-03	4.629313e-01	0	0	1.723308e+00	8.724606e+00	FHL1;KIF14;HMMR;PSMB10;AURKA;MECP2;GPR132;TUBA1A;PSMB5;PSMD4;CEP250;NEK2;SKP1;BRD4;HSP90AA1;KCNH5;ODF2;RCC2;NDE1;CDC25C;HAUS2;PSMB8;PSMA5;TPX2;CENPF;PSMC3;PSMC4;PSME1;CDK1;PSME2;DTL;PAFAH1B1
GO_Biological_Process_2021	myeloid leukocyte differentiation (GO:0002573)	18/71	6.500621e-03	4.629313e-01	0	0	2.136901e+00	1.076113e+01	CEBPA;CDKN1A;CSF3;PARP1;LEF1;MMP9;RUNX1;TGFBR2;BATF;IFNG;OSTM1;UBD;CAMK4;PIR;TNFSF11;CCR7;LGALS9;CCL19
GO_Biological_Process_2021	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18/71	6.500621e-03	4.629313e-01	0	0	2.136901e+00	1.076113e+01	KANK2;CDKN1A;DDX3X;DCUN1D3;FHL1;RDX;FAM107A;KIF14;INO80;PKD2;KLF4;RBL2;WEE1;APC;HYAL1;PSME1;PSME2;PTPN6
GO_Biological_Process_2021	phosphatidylserine acyl-chain remodeling (GO:0036150)	8/22	6.730784e-03	4.629313e-01	0	0	3.590438e+00	1.795601e+01	PLA2G2F;PLA2G2D;PLA2G1B;PLA2G10;MBOAT1;MBOAT2;PLA2G5;OSBPL10
GO_Biological_Process_2021	regulation of membrane protein ectodomain proteolysis (GO:0051043)	8/22	6.730784e-03	4.629313e-01	0	0	3.590438e+00	1.795601e+01	IL10;IFNG;ADAM9;PACSIN3;ADAM8;SNX9;TIMP4;SH3D19
GO_Biological_Process_2021	positive regulation of ubiquitin-protein transferase activity (GO:0051443)	10/31	6.731205e-03	4.629313e-01	0	0	2.992999e+00	1.496799e+01	CDC20;ARRDC4;PINK1;FBXW7;UBE2C;DCUN1D3;DCUN1D4;AXIN1;RPS2;SKP1
GO_Biological_Process_2021	regulation of macrophage derived foam cell differentiation (GO:0010743)	10/31	6.731205e-03	4.629313e-01	0	0	2.992999e+00	1.496799e+01	ABCA1;NFKBIA;CETP;ITGB3;PLA2G10;IL18;LPL;PLA2G5;CD36;APOB
GO_Biological_Process_2021	positive regulation of keratinocyte migration (GO:0051549)	5/10	6.768804e-03	4.629313e-01	0	0	6.279680e+00	3.136970e+01	EPB41L4B;FGF7;IQSEC1;ADAM9;MMP9
GO_Biological_Process_2021	positive regulation of DNA biosynthetic process (GO:2000573)	16/61	7.067939e-03	4.769445e-01	0	0	2.236555e+00	1.107584e+01	CCT3;HSP90AA1;NVL;RFC2;HGF;PNKP;PARN;CHTF18;KLF4;AURKB;PKIB;CHTF8;TCP1;NEK2;PRKD2;MAP3K4
GO_Biological_Process_2021	regulation of sensory perception of pain (GO:0051930)	6/14	7.515219e-03	4.981012e-01	0	0	4.710656e+00	2.303899e+01	TMEM100;SMR3B;SMR3A;SCN11A;VIP;MGLL
GO_Biological_Process_2021	cytoskeleton-dependent cytokinesis (GO:0061640)	18/72	7.578303e-03	4.981012e-01	0	0	2.097207e+00	1.023954e+01	USP8;RHOC;CENPA;AURKB;CIT;SNX18;ALKBH4;SON;ESPL1;APC;KIF4A;NUSAP1;CHMP4B;JTB;SNX9;KIF20A;CEP55;SPTBN1
